t, x, y, z, x', y', z', x'', y'', z''
20.0, 6785196.402880778, 199991.12794543873, 4999334.229440181, -90.30586324515765, 9998.669986876943, -66.53738026639573, -4.5135552961078975, -0.13296882589165648, -3.3255885531512317
40.0, 6782487.558312489, 399929.0547875738, 4997338.352155516, -180.50743738125337, 9994.682518525997, -132.99792029387518, -4.5057406340904445, -0.2656143138481341, -3.3198307084263847
60.0, 6777976.591866428, 599760.7353512781, 4994014.671067652, -270.50092851292214, 9988.049272026208, -199.3051447170842, -4.4927584274527455, -0.3974829726200482, -3.310265415667874
80.0, 6771668.69525033, 799433.4350583429, 4989367.011428025, -360.1836034007571, 9978.789605002079, -265.3833596622191, -4.474674704995572, -0.5281942029811356, -3.296941324910908
100.0, 6763571.099917266, 998894.8820640075, 4983400.701372855, -449.45430445305976, 9966.930398112505, -331.15803219305553, -4.451580838229256, -0.6573767925473191, -3.2799257587047466
120.0, 6753693.040547155, 1198093.4156431318, 4976122.545016387, -538.2139465390143, 9952.505838050227, -396.5561563630181, -4.423592492089071, -0.7846718121374401, -3.259303938999618
140.0, 6742045.708819657, 1396978.1296689243, 4967540.788390709, -626.3659901490232, 9935.55714446813, -461.50660183980807, -4.3908483130625235, -0.9097353200235003, -3.2351780205585756
160.0, 6728642.1980029745, 1595499.0101038911, 4957665.078618772, -713.8168859060028, 9916.132245067909, -525.9404414214368, -4.3535083810302595, -1.032240835530894, -3.207665950273542
180.0, 6713497.438976205, 1793607.0655146413, 4946506.416775614, -800.4764860000766, 9894.285403803151, -589.7912541813954, -4.311752455229782, -1.1518815492383292, -3.1769001747909535
200.0, 6696628.128386206, 1991254.4497275166, 4934077.104954375, -886.2584187607041, 9870.076807738556, -652.9954014534867, -4.265778047935846, -1.2683722434686748, -3.1430262211990887
220.0, 6678052.649708149, 2188394.575857401, 4920390.688103717, -971.0804232759449, 9843.572118565786, -715.4922733793654, -4.2157983616559305, -1.3814509036265457, -3.1062011771532374
240.0, 6657790.988033719, 2384982.2210658113, 4905461.891243631, -1054.864641698055, 9814.841995095076, -777.2245042793742, -4.162040126835702, -1.4908800079902866, -3.0665920976965255
260.0, 6635864.639450725, 2580973.6215324774, 4889306.552696427, -1137.5378676183818, 9783.96159321847, -838.1381556552199, -4.104741377274899, -1.5964474905747474, -3.024374366185917
280.0, 6612296.515902468, 2776326.5572553906, 4871941.553987108, -1219.0317496324851, 9751.010049880917, -898.1828661768022, -4.044149199721806, -1.697967378433888, -2.9797300361929193
300.0, 6587110.846426434, 2971000.4264240074, 4853384.747075906, -1299.2829499313752, 9716.069957503301, -957.3119685322713, -3.9805174925237305, -1.7952801110761851, -2.9328461800766905
320.0, 6560333.075667059, 3164956.309237792, 4833654.879582515, -1378.2332584300198, 9679.226835090813, -1015.4825735179382, -3.914104765874152, -1.8882525553640368, -2.8839132682056743
340.0, 6531989.760541937, 3358157.021163203, 4812771.518649823, -1455.829663566324, 9640.568601940397, -1072.6556222029812, -3.8451720132374896, -1.9767777342320876, -2.833123600622946
